"externalid","limitname","max_value","remaining_value","eventdate"
"63aaae1d-95d5-4f7e-89ad-dea57b2d4d15","DailyBulkApiBatches",15000,5243,2021-06-22 21:14:13
"59a4f5b1-26b2-41b6-a749-75571d0cec77","DailyBulkApiBatches",15000,5244,2021-06-22 23:14:35
"62dc5872-e4b1-4006-bd27-f75e508bcfc1","DailyBulkApiBatches",15000,5262,2021-06-23 01:12:07
"2c277735-b925-428f-8d10-f1beb106ea9f","DailyBulkApiBatches",15000,5279,2021-06-23 02:14:04
a5544c53-b792-47d2-9797-7d69cd174881,"DailyBulkApiBatches",15000,5330,2021-06-23 03:16:57
ddd41055-76cf-41bf-93c2-96fda7f93131,"DailyBulkApiBatches",15000,5315,2021-06-23 04:14:40
"0be1e5b5-9e4c-4be7-921d-241870c35879","DailyBulkApiBatches",15000,5283,2021-06-23 05:13:27
"74a9a8b9-a2aa-4ef4-9eb9-8d00d40e03a9","DailyBulkApiBatches",15000,5566,2021-06-23 07:14:15
aff40ce4-f268-4519-9235-c5643964355e,"DailyBulkApiBatches",15000,5823,2021-06-23 11:13:53
"57c2ca14-877f-40d9-ba63-2e0d566e90ba","DailyBulkApiBatches",15000,5936,2021-06-23 13:14:07
deb95356-2852-4e67-b604-d2100907cec6,"DailyBulkApiBatches",15000,6067,2021-06-23 15:13:36
e11a47d1-51f8-42bb-a9cb-620541eabbfc,"DailyBulkApiBatches",15000,6178,2021-06-23 17:13:27
"86d2f016-79ec-4fcb-bd16-d16774609eb7","DailyBulkApiBatches",15000,6300,2021-06-23 19:14:20
"4c954c85-ac6d-42e1-ad19-d5ab8daaa91c","DailyBulkApiBatches",15000,6428,2021-06-23 21:13:09
d306095b-d549-48fc-9fe3-f741298e915c,"DailyBulkApiBatches",15000,6557,2021-06-23 23:11:47
"92290fbc-aadd-4ba3-ab1c-9798f77cdbab","DailyBulkApiBatches",15000,6594,2021-06-24 00:16:27
"58e8ca71-9b83-41b0-96ad-ee8289007f61","DailyBulkApiBatches",15000,6640,2021-06-24 02:14:18
"2054b8d3-0ced-4fa0-b1c7-77d979fa4cbb","DailyBulkApiBatches",15000,6760,2021-06-24 03:13:52
c6ca1725-1ee3-4d80-8db0-8e27087c7874,"DailyBulkApiBatches",15000,6914,2021-06-24 04:12:12
"6e356894-7051-49fa-849b-1eee42dfdfbe","DailyBulkApiBatches",15000,7143,2021-06-24 06:14:32
"2e4eb1bf-3703-40ec-82d4-d42d3e302955","DailyBulkApiBatches",15000,7263,2021-06-24 07:15:14
